LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(µm),(µm),(µm),(µm),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(quality),(µm),(µm),,(µm/frame),,(rad/frame)
Track_1689,50,50,98,0,0,0,0,0,97.0,0.0,97.0,19.644090869400188,829.0240031282234,141.47700246373446,0.0,0.6980300939714911,2.661089636088644,0.0576301124996725,0.5547499776054247,0.542668390650923,6458.367346938776,67.70891911523466,19.644090869400188,0.29012560126632153,0.20251640071546584,0.29012560126632164,1.5184275188228993
Track_1690,51,51,98,0,0,0,0,0,97.0,0.0,97.0,2.435480174817181,167.00707568268476,285.32960423454887,0.0,0.49891254760851,2.1014222096405364,0.040792334316792626,0.39168397656084936,0.37912329165000963,5916.7959183673465,48.39451711802548,4.347422452948064,0.05032553933491029,0.02510804303935238,0.0503255393349103,1.7707828135711823
Track_1691,52,52,85,0,0,0,0,0,84.0,2.0,86.0,8.614934131710314,629.1971854751197,643.761613446785,0.0,0.9611158459192218,4.147767388930838,0.15743178330725943,0.7832718158857482,0.7459512267986103,1883.3411764705882,80.73373105721464,10.263210167403987,0.10670798957136088,0.10255873966321802,0.10670798957136088,1.653933184060625
Track_1692,53,53,98,0,0,0,0,0,97.0,0.0,97.0,6.099166769919159,153.9240437267602,465.90755184370346,0.0,0.7644703552070122,3.4384550998581402,0.06376002277817631,0.5244207121764829,0.7164998417553806,5766.428571428572,74.15362445508016,7.952767937780103,0.08225042018834608,0.06287800793731092,0.08225042018834607,1.8877001035715069
Track_1693,54,54,50,1,0,0,0,1,50.0,0.0,50.0,12.549527027707917,86.47146631083731,176.16912844222318,0.0,1.2632758265075743,2.8774993497255594,0.14448950775532454,1.0464570644782698,0.7419006917337219,1774.82,62.774324004568314,15.383111521053912,0.1999149688460945,0.25099054055415837,0.1986822950994333,1.6951328070889644
Track_1694,55,55,98,0,0,0,0,0,97.0,0.0,97.0,2.3025954183799344,112.97017332169843,295.4930647389859,0.0,0.1000476252108948,0.4982616601324016,0.011030421249988034,0.08611968561868857,0.06705459728039166,5107.959183673469,9.704619645456797,2.8613676369263015,0.2372679715951455,0.023738097096700356,0.23726797159514554,1.7289643672480193
Track_1695,56,56,94,0,0,0,0,0,93.0,4.0,97.0,15.110033278429684,385.56833464024345,644.98528424305,0.0,0.6617193543688854,2.931673913445847,0.05676610865052157,0.5348814649959509,0.5584285495398128,2322.244680851064,61.53989995630631,15.26797060592484,0.2455323016312652,0.16247347611214713,0.24553230163126505,1.483550486142727
Track_1696,57,57,77,0,0,0,0,0,76.0,10.0,86.0,8.626006663390962,200.24493325053362,144.79557303490952,0.0,2.062784110424518,7.669968013705772,0.26854131738761094,1.3588465759587305,1.9711477514868765,2497.9220779220777,156.7715923922634,20.860602957622827,0.055022766125941654,0.11350008767619686,0.055022766125941654,1.4942339443485957
Track_1697,58,58,98,0,0,0,0,0,97.0,0.0,97.0,30.58447289330456,155.52894964319734,307.5649808905554,0.0,0.8706801218022227,4.1518646272628414,0.029217869522532525,0.6866589465810893,0.6634642554960392,1570.9795918367347,84.45597181481561,30.58447289330456,0.36213511295999684,0.31530384426087177,0.3621351129599969,1.6286146032006215
Track_1698,59,59,98,0,0,0,0,0,97.0,0.0,97.0,19.248363603114417,8.584888001352416,464.6333340871199,0.0,0.6577407574439835,2.947100924396739,0.021982709614997455,0.46714090436893124,0.5855416752796224,2845.6326530612246,63.80085347206637,20.949516249192808,0.3016944532182761,0.19843673817643728,0.301694453218276,1.759045344879146
