LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(µm),(µm),(µm),(µm),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(quality),(µm),(µm),,(µm/frame),,(rad/frame)
Track_538,47,47,375,0,0,0,0,0,374.0,0.0,374.0,55.002878496831634,218.27373227925048,469.7024170607654,0.0,1.5727551548099579,9.351540728040217,0.029960051371185025,1.1390328929466433,1.514346420730893,4884.768,588.2104278989237,60.05914452863086,0.09350884630403587,0.14706652004500437,0.09350884630403579,1.7666765703555964
Track_539,48,48,375,0,0,0,0,0,374.0,0.0,374.0,7.7087945953280155,756.1296495825568,553.1155736095956,0.0,0.29810422386693874,0.9715633166787723,0.013747212551276125,0.2718577555542364,0.1743856666105495,5353.1866666666665,111.49097972623511,9.253725958802704,0.06914276486094997,0.02061175025488774,0.06914276486094999,1.7287554834574081
Track_540,49,49,375,0,0,0,0,0,374.0,0.0,374.0,35.313213321825636,554.7316063165491,185.4690752514064,0.0,0.5897053679029783,4.7009416495888,0.005267820356650727,0.3208504993667653,0.7831818656733665,7281.866666666667,220.54980759571387,36.28868803202221,0.1601144598890682,0.09442035647546962,0.16011445988906817,1.932137098586139
Track_541,50,50,375,0,0,0,0,0,374.0,0.0,374.0,26.606483887792066,376.22584326603703,187.88459869598276,0.0,1.213662810221548,6.3833089181270655,0.04029919544800599,0.9283986314965208,1.0037028356779245,5473.16,453.9098910228589,29.976854876342152,0.058616224087639814,0.07114033125078092,0.05861622408763981,1.4971398855021534
Track_542,51,51,375,0,0,0,0,0,374.0,0.0,374.0,0.8629922311346914,437.35977835339463,260.9727387233467,0.0,0.19959143006970112,0.7311758421067633,0.01111798672730241,0.18375651554531727,0.11424745101745207,3181.594666666667,74.64719484606817,1.1964166452288034,0.011560946568913795,0.0023074658586489075,0.011560946568913788,2.012585327489469
Track_543,52,52,375,0,0,0,0,0,374.0,0.0,374.0,15.810660190527061,89.80096281481998,542.396108492287,0.0,0.8267109132793437,3.621758485683499,0.04210093845016286,0.6925535169184942,0.5788617213991889,3228.018666666667,309.1898815664745,18.890340671804637,0.05113576198038627,0.04227449248804027,0.05113576198038627,1.672256883718764
Track_544,53,53,375,0,0,0,0,0,374.0,0.0,374.0,38.465181360537805,844.3846789964065,238.94504188121616,0.0,0.6411946135003812,3.829936694913328,0.03346564451075111,0.45887178766127934,0.5461458170090498,3112.1786666666667,239.80678544914278,39.88083798563612,0.16040072130776023,0.10284807850411178,0.16040072130776037,1.8210624013672467
Track_545,54,54,375,0,0,0,0,0,374.0,0.0,374.0,10.40262713503192,300.39474079651353,216.66909897854188,0.0,0.33460638504857304,1.592689085808621,0.009797351486134002,0.2667834352301976,0.2370892812877464,4096.642666666667,125.14278800816625,10.40262713503192,0.08312606184187851,0.027814511056235083,0.08312606184187847,1.9074371466752718
Track_546,55,55,375,0,0,0,0,0,374.0,0.0,374.0,4.239679957420539,501.01160050929053,96.93699002641313,0.0,0.18022770233403307,0.7150565284252126,0.005974973566912057,0.1512242511899388,0.11234505233871596,4412.778666666667,67.4051606729283,4.505288553872335,0.06289844746447296,0.011336042666899837,0.06289844746447289,1.8961223702611176
Track_547,56,56,364,2,0,0,0,10,374.0,0.0,374.0,6.574930788458916,410.9261142053336,61.454582478043136,0.0,0.6625011359942227,6.952390579558698,0.010494059621472455,0.2967980886574061,0.9778728246790392,4416.626373626374,245.38020808204695,11.20248803104897,0.02679487005023844,0.017580028846146834,0.026535847096721268,1.8221447206161117
