"","X.1","ID","Track","Slice","X","Y","Distance","Velocity","PixelValue","TrackNumber"
"865",125,128,"Tail After",75,621.048,532.908,1.356,0.904,-10981527,224
"866",126,129,"Tail After",76,621.048,532.23,0.678,0.452,-11113115,224
"867",127,130,"Tail After",77,621.048,532.23,0,0,-10981013,224
"868",128,131,"Tail After",78,621.048,532.908,0.678,0.452,-11047070,224
"869",129,132,"Tail After",79,621.726,532.908,0.678,0.452,-11375256,224
"870",130,133,"Tail After",80,621.726,532.908,0,0,-11837612,224
"871",131,134,"Tail After",81,621.726,532.23,0.678,0.452,-11309465,224
"872",132,135,"Tail After",82,621.726,532.23,0,0,-11506844,224
"873",133,136,"Tail After",83,621.726,531.552,0.678,0.452,-11308697,224
"874",134,137,"Tail After",84,621.726,531.552,0,0,-11308699,224
"875",135,138,"Tail After",85,621.048,530.874,0.959,0.639,-11244701,224
"876",136,139,"Tail After",86,621.048,530.874,0,0,-11507105,224
"877",137,140,"Tail After",87,621.048,530.874,0,0,-11311266,224
"878",138,141,"Tail After",88,621.048,530.874,0,0,-11310492,224
"879",139,142,"Tail After",89,621.048,530.874,0,0,-11309465,224
"880",140,143,"Tail After",90,621.048,530.874,0,0,-11179413,224
"881",141,144,"Tail After",91,621.048,530.874,0,0,-11439764,224
"882",142,145,"Tail After",92,620.37,530.874,0.678,0.452,-10458006,224
"883",143,146,"Tail After",93,620.37,531.552,0.678,0.452,-10198165,224
"884",144,147,"Tail After",94,620.37,530.874,0.678,0.452,-11117978,224
"885",145,148,"Tail After",95,620.37,530.874,0,0,-10723480,224
"886",146,149,"Tail After",96,620.37,530.874,0,0,-11179670,224
"887",147,150,"Tail After",97,620.37,530.874,0,0,-11571600,224
"888",148,151,"Tail After",98,620.37,530.874,0,0,-13681346,224
"889",149,152,"Tail After",99,621.048,530.874,0.678,0.452,-13478577,224
"890",150,153,"Tail After",100,621.048,530.874,0,0,-13679806,224
"891",151,154,"Tail After",101,621.048,530.874,0,0,-14269113,224
"892",152,155,"Tail After",102,621.048,530.874,0,0,-10852512,224
"893",153,156,"Tail After",103,620.37,530.874,0.678,0.452,-10658976,224
"894",154,157,"Tail After",104,620.37,530.874,0,0,-11179924,224
"895",155,158,"Tail After",105,620.37,530.874,0,0,-14334389,224
"896",156,159,"Tail After",106,620.37,530.874,0,0,-11704734,224
"1216",268,272,"Tail After",92,708.51,585.453,0,0,-10654365,225
"1217",269,273,"Tail After",93,708.51,586.131,0.678,0.452,-10786203,225
"1218",270,274,"Tail After",94,708.51,586.131,0,0,-10981262,225
"1219",271,275,"Tail After",95,708.51,586.131,0,0,-10918557,225
"1220",272,276,"Tail After",96,708.51,586.131,0,0,-10786706,225
"1221",273,277,"Tail After",97,707.832,585.453,0.959,0.639,-10389903,225
"1222",274,278,"Tail After",98,707.154,584.775,0.959,0.639,-10061199,225
"1223",275,279,"Tail After",99,707.154,584.775,0,0,-10390156,225
"1224",276,280,"Tail After",100,707.154,584.097,0.678,0.452,-10587533,225
"1225",277,281,"Tail After",101,706.476,584.097,0.678,0.452,-10785941,225
"1226",278,282,"Tail After",102,706.476,584.775,0.678,0.452,-10458257,225
"1227",279,283,"Tail After",103,705.459,584.775,1.017,0.678,-10126218,225
"1228",280,284,"Tail After",104,705.459,584.775,0,0,-10324364,225
"1229",281,285,"Tail After",105,705.459,584.775,0,0,-10653590,225
"1230",282,286,"Tail After",106,705.459,584.775,0,0,-10521230,225
"1231",283,287,"Tail After",107,705.459,584.775,0,0,-11441553,225
"1232",284,288,"Tail After",108,706.476,585.453,1.222,0.815,-10785427,225
"1233",285,289,"Tail After",109,706.476,585.453,0,0,-10719881,225
"1234",286,290,"Tail After",110,706.476,586.131,0.678,0.452,-10784912,225
"1235",287,291,"Tail After",111,706.476,585.453,0.678,0.452,-10589325,225
"1236",288,292,"Tail After",112,706.476,584.775,0.678,0.452,-11048597,225
"1237",289,293,"Tail After",113,705.459,585.453,1.222,0.815,-11115419,225
"1238",290,294,"Tail After",114,705.459,585.453,0,0,-11508886,225
"1239",291,295,"Tail After",115,706.476,584.775,1.222,0.815,-10983570,225
"1240",292,296,"Tail After",116,706.476,585.453,0.678,0.452,-10651784,225
"1241",293,297,"Tail After",117,706.476,585.453,0,0,-9931146,225
"1242",294,298,"Tail After",118,706.476,585.453,0,0,-10589067,225
"1243",295,299,"Tail After",119,705.459,585.453,1.017,0.678,-10654358,225
"1244",296,300,"Tail After",120,705.459,586.131,0.678,0.452,-10193035,225
"1245",297,301,"Tail After",121,705.459,585.453,0.678,0.452,-10916758,225
"1246",298,302,"Tail After",122,705.459,586.131,0.678,0.452,-10258830,225
"1247",299,303,"Tail After",123,705.459,586.131,0,0,-10061969,225
"1248",300,304,"Tail After",124,705.459,586.131,0,0,-10324110,225
"1249",301,305,"Tail After",125,705.459,585.453,0.678,0.452,-10914707,225
"1250",302,306,"Tail After",126,705.459,585.453,0,0,-11572362,225
"1251",303,307,"Tail After",127,705.459,585.453,0,0,-10521743,225
"1252",304,308,"Tail After",128,705.459,586.131,0.678,0.452,-10127244,225
"1253",305,309,"Tail After",129,705.459,585.453,0.678,0.452,-11114141,225
"1254",306,310,"Tail After",130,705.459,585.453,0,0,-10588826,225
"1255",307,311,"Tail After",131,705.459,585.453,0,0,-11047835,225
"1256",308,312,"Tail After",132,705.459,585.453,0,0,-10392215,225
"1257",309,313,"Tail After",133,705.459,585.453,0,0,-10918041,225
"1258",310,314,"Tail After",134,705.459,586.131,0.678,0.452,-10456207,225
"1259",311,315,"Tail After",135,706.476,585.453,1.222,0.815,-9866130,225
"1260",312,316,"Tail After",136,704.781,586.131,1.826,1.217,-10325904,225
"1261",313,317,"Tail After",137,704.781,586.131,0,0,-10457230,225
"1262",314,318,"Tail After",138,704.781,586.131,0,0,-10195097,225
"1263",315,319,"Tail After",139,704.781,586.131,0,0,-10326170,225
"1264",316,320,"Tail After",140,705.459,586.131,0.678,0.452,-10127246,225
"1265",317,321,"Tail After",141,705.459,586.131,0,0,-10456977,225
"1266",318,322,"Tail After",142,705.459,586.131,0,0,-10127760,225
"1267",319,323,"Tail After",143,705.459,586.131,0,0,-10062482,225
"1268",320,324,"Tail After",144,705.459,586.131,0,0,-10719899,225
"1269",321,325,"Tail After",145,705.459,586.131,0,0,-10194836,225
"1270",322,326,"Tail After",146,705.459,586.131,0,0,-10128275,225
"1271",323,327,"Tail After",147,705.459,586.131,0,0,-10851996,225
"1272",324,328,"Tail After",148,705.459,586.131,0,0,-10654104,225
"1273",325,329,"Tail After",149,705.459,586.131,0,0,-10982553,225
"1274",326,330,"Tail After",150,706.476,585.453,1.222,0.815,-9996687,225
"1275",327,331,"Tail After",151,706.476,585.453,0,0,-10326422,225
"1276",328,332,"Tail After",152,706.476,585.453,0,0,-9996689,225
